Datetime,ZoneMeanAirTemperature 1,ZoneMeanAirTemperature 2,ZoneMeanAirTemperature 3,ZoneMeanAirTemperature 4,ZoneMeanAirTemperature 5,Environment,HeatInput 1,HeatInput 2,HeatInput 3,HeatInput 4,HeatInput 5,Total Solar Radiation
21-Jan-2021 19:45:00,19.0067415867357,18.7607969223135,21.3374786112151,21.4586232805191,18.4845525158532,4.975,4200,4200,0,0,1800,0
21-Jan-2021 20:00:00,21.529645314197,21.2861847278314,19.3134144044618,18.8345044025444,20.6936193913235,4.8,0,0,4200,6600,0,0
21-Jan-2021 20:15:00,19.0019265667422,18.7608042611641,21.3550166867648,21.4601898167871,18.4789209791162,4.625,4200,4200,0,0,1800,0
21-Jan-2021 20:30:00,21.5252827981413,21.2863840748389,19.3306870092183,18.8362836334091,20.6881456723263,4.45,0,0,4200,6600,0,0
21-Jan-2021 20:45:00,18.9978339424237,18.7610674784516,21.372017181754,21.462052714104,18.4734783633678,4.275,4200,4200,0,0,1800,0
21-Jan-2021 21:00:00,21.5213279936136,21.2866200875855,19.3474123616804,18.83813727161,20.6826473646691,4.1,0,0,4200,6600,0,0
21-Jan-2021 21:15:00,18.9939204242404,18.7612106957233,21.3884663218422,21.4638293486618,18.4678639097578,4,4200,4200,0,0,1800,0
21-Jan-2021 21:30:00,21.5188283579939,21.2880665248531,19.3639245658424,18.8411311419164,20.6786189880699,3.9,0,0,4200,6600,0,0
21-Jan-2021 21:45:00,18.9930379133292,18.7641813717206,21.4050963839403,21.4682501854235,18.4656694578003,3.8,4200,4200,0,0,1800,0
21-Jan-2021 22:00:00,21.5182630357983,21.29127503972,19.3803762588244,18.8457848732771,20.6766866895966,3.7,0,0,4200,6600,0,0
21-Jan-2021 22:15:00,18.9926451812654,18.767493471117,21.4213528939642,21.4730069811964,18.4638524813488,3.675,0,0,0,0,0,0
21-Jan-2021 22:30:00,18.6980939889299,18.4747497570281,19.3961942604722,18.8518355911305,18.2329003420582,3.65,0,0,0,0,0,0
21-Jan-2021 22:45:00,18.4963870239351,18.274824133316,19.1996602453045,18.5360909472938,18.0779873497976,3.625,0,0,0,0,0,0
21-Jan-2021 23:00:00,18.3453026997001,18.1254970935673,19.0683523664021,18.3189024338724,17.9641415930108,3.6,0,0,0,0,0,0
21-Jan-2021 23:15:00,18.2273380949437,18.0092673497664,18.9716586521574,18.1555951578361,17.8758313566385,3.625,0,0,0,0,0,0
21-Jan-2021 23:30:00,18.1330717313414,17.9167147182858,18.895956008318,18.0290443439303,17.8054996155104,3.65,0,0,0,0,0,0
21-Jan-2021 23:45:00,18.0550317229934,17.840368351108,18.8335161097508,17.9275873061297,17.7468074876037,3.675,0,0,0,0,0,0
22-Jan-2021 00:00:00,17.9886639340751,17.7756749552091,18.7798497173349,17.8440393499325,17.6962191006931,3.7,0,0,0,0,0,0
22-Jan-2021 00:15:00,17.9308114707628,17.7194783311209,18.7321343139858,17.773503437528,17.651367680618,3.8,0,0,0,0,0,0
22-Jan-2021 00:30:00,17.880684448391,17.6709891753358,18.6888702405425,17.7138892477693,17.6123776450832,3.9,0,0,0,0,0,0
22-Jan-2021 00:45:00,17.8354922531846,17.6274173686879,18.6485462015113,17.6616446096933,17.5766554827089,4,0,0,0,0,0,0
22-Jan-2021 01:00:00,17.793999176137,17.587527630388,18.6103190244388,17.6149214877251,17.5433248105907,4.1,0,0,0,0,0,0
22-Jan-2021 01:15:00,17.7553120664429,17.550427186708,18.5736126265115,17.5723770315766,17.5117744180043,4.2,0,0,0,0,0,0
22-Jan-2021 01:30:00,17.718776234507,17.5154616855355,18.5380287248007,17.5330225968426,17.4815708387828,4.3,0,0,0,0,0,0
22-Jan-2021 01:45:00,17.6839082222146,17.4821479753885,18.5032895610978,17.4961247244509,17.4524037046032,4.4,0,0,0,0,0,0
22-Jan-2021 02:00:00,17.6503489901993,17.4501272993114,18.4692000857649,17.4611360143513,17.4240491851275,4.5,0,0,0,0,0,0
22-Jan-2021 02:15:00,17.6178306791156,17.4191320611741,18.4356225503992,17.4276459578296,17.3963449272304,4.375,0,0,0,0,0,0
22-Jan-2021 02:30:00,17.5818217836185,17.3846310034687,18.4014414310048,17.3913134908612,17.3639382905012,4.25,0,0,0,0,0,0
22-Jan-2021 02:45:00,17.5457351831776,17.3500372410252,18.3674423024174,17.3551977762414,17.3311429865385,4.125,0,0,0,0,0,0
22-Jan-2021 03:00:00,17.5096765801282,17.3154567012731,18.3336115548365,17.3193299813989,17.2981459850133,4,0,0,0,0,0,0
