Datetime,ZoneMeanAirTemperature 1,ZoneMeanAirTemperature 2,ZoneMeanAirTemperature 3,ZoneMeanAirTemperature 4,ZoneMeanAirTemperature 5,Environment,HeatInput 1,HeatInput 2,HeatInput 3,HeatInput 4,HeatInput 5,Total Solar Radiation
21-Jan-2021 19:45:00,18.9548232394637,22.0774035865296,21.6797606671543,19.0492680218845,22.0962622339493,4.975,4200,4200,4200,0,0,0
21-Jan-2021 20:00:00,21.6844562568726,22.2992313852167,21.9398115682393,18.8430812166828,19.7177594350452,4.8,4200,0,4200,0,0,0
21-Jan-2021 20:15:00,22.1078415439482,19.6466404673332,22.1091745968499,18.6908006810339,19.3818304824672,4.625,4200,0,4200,0,0,0
21-Jan-2021 20:30:00,22.3972770197777,19.281021159891,22.2279297903864,18.5736432302522,19.1559488646633,4.45,4200,0,4200,0,0,0
21-Jan-2021 20:45:00,22.6085605338744,19.0354476654154,22.3150056879138,18.4805448377394,18.9932274999991,4.275,0,0,4200,0,0,0
21-Jan-2021 21:00:00,19.9466804503229,18.8575509639984,22.3811410260484,18.4044443528625,18.8706223472966,4.1,0,4200,0,0,0,0
21-Jan-2021 21:15:00,19.571992833185,21.5441351358723,20.1984262011159,18.3403525329887,18.7744409716836,4,0,4200,0,0,1800,0
21-Jan-2021 21:30:00,19.3182152551022,21.9365603828471,19.9073083375599,18.2849874501346,21.1405664747578,3.9,0,4200,0,0,1800,0
21-Jan-2021 21:45:00,19.1317349048544,22.2019660326524,19.7173340889774,18.2349152680432,21.4615956386486,3.8,0,4200,0,0,1800,0
21-Jan-2021 22:00:00,18.9892306807577,22.3942038562965,19.584497186973,18.188914926504,21.6706169405072,3.7,0,0,4200,0,1800,0
21-Jan-2021 22:15:00,18.8769208771816,19.7170543183443,21.7203880335655,18.1462704363299,21.8151774781583,3.675,0,0,0,0,0,0
21-Jan-2021 22:30:00,18.7877175227404,19.3325170937956,19.7432865680841,18.1086737215994,19.4776096802539,3.65,4200,0,0,0,0,0
21-Jan-2021 22:45:00,21.5343984575821,19.0707394554008,19.5737418538405,18.0730659719406,19.1694095172875,3.625,0,0,0,0,0,0
21-Jan-2021 23:00:00,19.1465231599077,18.8786767959668,19.4600392586972,18.038011691051,18.96193561591,3.6,0,0,4200,0,0,0
21-Jan-2021 23:15:00,18.9435479322008,18.7322410609058,21.6087937505988,18.0034952300511,18.8114401391585,3.625,0,4200,0,0,0,0
21-Jan-2021 23:30:00,18.8076486467079,21.4400150430445,19.6399592482726,17.9715347077163,18.6990000012318,3.65,0,0,0,6600,0,0
21-Jan-2021 23:45:00,18.7053405907108,19.0254283596017,19.4776760355515,20.8841812398645,18.6108700379548,3.675,0,4200,0,0,0,0
22-Jan-2021 00:00:00,18.6236548308047,21.624724791813,19.3712363799387,18.4470707251442,18.5401118021226,3.7,4200,0,0,6600,0,0
