Datetime,ZoneMeanAirTemperature 1,ZoneMeanAirTemperature 2,ZoneMeanAirTemperature 3,ZoneMeanAirTemperature 4,ZoneMeanAirTemperature 5,Environment,HeatInput 1,HeatInput 2,HeatInput 3,HeatInput 4,HeatInput 5
21-Jan-2021 19:45:00,20.3754877761448,20.3754877761449,17.9856421768339,17.902969667885,20.0084991198913,4.975,0,0,4200,6600,0
21-Jan-2021 20:00:00,17.8513372251836,17.8513372251837,20.1219887096865,20.530265835406,17.7936474097515,4.8,4200,4200,0,0,1800
21-Jan-2021 20:15:00,20.3784228664743,20.3784228664744,18.1539501911385,17.9082399173865,20.0030204139144,4.625,0,0,0,6600,0
21-Jan-2021 20:30:00,17.8546763425442,17.8546763425443,17.9987792959911,20.5359501426722,17.7885824632633,4.45,4200,4200,4200,0,1800
21-Jan-2021 20:45:00,20.3809173724599,20.38091737246,20.1347011022852,17.9130485745601,19.9972440716153,4.275,0,0,0,6600,1800
21-Jan-2021 21:00:00,17.8570874416,17.8570874416002,18.1667642992768,20.5407311620417,20.2265310430718,4.1,4200,4200,0,0,0
21-Jan-2021 21:15:00,20.3836156756271,20.3836156756272,18.0116516378829,17.918551331818,17.9352955004756,4,0,0,0,6600,1800
21-Jan-2021 21:30:00,17.8600667829515,17.8600667829516,17.9145857367307,20.5465171222663,20.1018072675383,3.9,4200,4200,4200,0,0
21-Jan-2021 21:45:00,20.3868097009033,20.3868097009034,20.0815816495018,17.9242626625647,17.8609004088562,3.8,0,0,0,6600,1800
21-Jan-2021 22:00:00,17.8638127611588,17.8638127611589,18.1321636919588,20.5526313665612,20.052960105459,3.7,4200,4200,0,0,0
21-Jan-2021 22:15:00,20.3914336006236,20.3914336006237,17.9887512123597,17.931181682562,17.8276827113692,3.675,0,0,0,0,0
21-Jan-2021 22:30:00,17.8691745490482,17.8691745490484,17.8990454061693,17.6162338824605,17.5862652163645,3.65,0,0,0,0,0
21-Jan-2021 22:45:00,17.5758205575984,17.5758205575986,17.8342960577394,17.4003030288265,17.4226832051959,3.625,0,0,0,0,0
21-Jan-2021 23:00:00,17.3752352346274,17.3752352346275,17.7823782160295,17.2386633810051,17.3025831512291,3.6,0,0,0,0,0
21-Jan-2021 23:15:00,17.2258988443933,17.2258988443934,17.7379873440487,17.1131918997584,17.2099546386519,3.625,0,0,0,0,0
21-Jan-2021 23:30:00,17.1112138468658,17.111213846866,17.6985765174337,17.0137709395466,17.1367069205628,3.65,0,0,0,0,0
21-Jan-2021 23:45:00,17.0198510166681,17.0198510166682,17.6623118684827,16.9324705001075,17.076104199276,3.675,0,0,0,0,0
22-Jan-2021 00:00:00,16.9449614119879,16.9449614119881,17.6281494735946,16.8643308645427,17.0243333493103,3.7,0,0,0,0,0
22-Jan-2021 00:15:00,16.8819276226948,16.881927622695,17.5954146125814,16.8058767057543,16.9788331470157,3.8,0,0,0,0,0
22-Jan-2021 00:30:00,16.8289874218049,16.828987421805,17.5640042489238,16.7559677348099,16.9395892872919,3.9,0,0,0,0,0
22-Jan-2021 00:45:00,16.7826829523698,16.78268295237,17.5333410620341,16.7117057346955,16.9039077267125,4,0,0,0,0,0
22-Jan-2021 01:00:00,16.741310781834,16.7413107818341,17.5032188513162,16.6717023315179,16.8708383739279,4.1,0,0,0,0,0
22-Jan-2021 01:15:00,16.7036446848682,16.7036446848684,17.4735023682625,16.6349428909322,16.8397155320205,4.2,0,0,0,0,0
22-Jan-2021 01:30:00,16.6687898688362,16.6687898688364,17.4441019658594,16.6006760536271,16.8100652229426,4.3,0,0,0,0,0
22-Jan-2021 01:45:00,16.6360880997892,16.6360880997893,17.4149580120026,16.5683416435946,16.7815468272102,4.4,0,0,0,0,0
22-Jan-2021 02:00:00,16.6050521108598,16.60505211086,17.3860308282369,16.5375198581336,16.7539138502699,4.5,0,0,0,0,0
22-Jan-2021 02:15:00,16.575319364639,16.5753193646392,17.3572940679422,16.5078947913593,16.7269869134261,4.375,0,0,0,0,0
22-Jan-2021 02:30:00,16.5422880889318,16.542288088932,17.3277125288064,16.4751959185968,16.6954005575944,4.25,0,0,0,0,0
