Datetime,ZoneMeanAirTemperature 1,ZoneMeanAirTemperature 2,ZoneMeanAirTemperature 3,ZoneMeanAirTemperature 4,ZoneMeanAirTemperature 5,Environment,HeatInput 1,HeatInput 2,HeatInput 3,HeatInput 4,HeatInput 5
21-Jan-2008 19:45:00,11.613560374833,11.5980606664935,11.1995423316467,8.96848342228878,8.1980086021731,-10,0,4200,0,0,0
21-Jan-2008 20:00:00,8.76963650466116,11.5374099601971,11.1380750398745,8.81815112381043,7.96750850469221,-10,0,4200,0,6600,0
21-Jan-2008 20:15:00,8.46903470493136,11.5104340420344,11.0939685930851,11.666285836681,7.85236546231998,-10,4200,4200,0,6600,0
21-Jan-2008 20:30:00,11.1579562922787,11.4955452510831,11.0572811503848,11.9230625186351,7.78204984675803,-10,4200,4200,0,6600,0
21-Jan-2008 20:45:00,11.3744922969728,11.485711411534,11.0261700208901,12.0122580269282,7.73035975120152,-10,4200,0,4200,6600,0
21-Jan-2008 21:00:00,11.4493401048507,8.65737813781381,13.1669300605761,12.044120984918,7.68679753947568,20,4200,0,4200,0,1800
21-Jan-2008 21:15:00,15.0307337288922,11.9168545831666,14.6155725773581,12.5151511199212,14.1889795443232,20,4200,0,4200,0,1800
21-Jan-2008 21:30:00,15.4082495012703,12.156529803778,14.805489016001,12.5712005431088,14.7578999069284,20,4200,0,4200,0,1800
21-Jan-2008 21:45:00,15.5749605358676,12.2507511334729,14.8992818784469,12.6000291095763,14.994556243926,20,4200,0,0,0,1800
21-Jan-2008 22:00:00,15.6687471409301,12.2975342352288,12.7908816179338,12.6203540573048,15.1144927894956,20,0,0,0,0,1800
21-Jan-2008 22:15:00,12.9122950157813,12.3254383739269,12.6379102193211,12.6364718840863,15.1893275724304,20,0,0,0,0,1800
21-Jan-2008 22:30:00,12.6742970536808,12.344424422285,12.5860789016826,12.6500844713658,15.2457883799417,-10,0,0,0,6600,1800
21-Jan-2008 22:45:00,9.04077760675762,8.8047417329953,11.2947117092805,12.2027699661844,11.2337860529085,-10,0,0,0,6600,1800
21-Jan-2008 23:00:00,8.64820886271514,8.44915697095848,11.1678464173813,12.1633412657332,10.9033146507122,-10,0,0,0,6600,1800
21-Jan-2008 23:15:00,8.48053634773162,8.29664614941175,11.1029488133083,12.1489952890651,10.7779313470962,-10,0,0,4200,0,1800
21-Jan-2008 23:30:00,8.39129176131038,8.21394969072078,13.2269425840887,9.21263370539943,10.7240048478227,-10,0,0,4200,0,1800
21-Jan-2008 23:45:00,8.33334104533309,8.15906507762343,13.3877257934717,8.89757023914409,10.6961707663002,20,0,0,4200,0,1800
22-Jan-2008 00:00:00,11.8430392270669,11.6703926335649,14.7166113567405,12.1521480429945,14.7388098378024,20,0,0,4200,0,1800
22-Jan-2008 00:15:00,12.172437227901,12.0008170139912,14.8566135811321,12.4437775228273,15.1018128806375,20,4200,4200,4200,6600,1800
22-Jan-2008 00:30:00,15.1217525831044,14.9509022108527,14.9278343342377,15.4866542162986,15.2617585293412,-10,4200,4200,4200,6600,1800
22-Jan-2008 00:45:00,11.9180097099297,11.7478189352983,13.7056953800576,12.4631363979055,11.2918938967553,-10,4200,4200,4200,6600,1800
22-Jan-2008 01:00:00,11.7114409975717,11.5418621552348,13.6305475324426,12.2654410777864,10.9808991123968,-10,4200,4200,4200,6600,1800
22-Jan-2008 01:15:00,11.6423185089597,11.47333097088,13.6105776279679,12.2005924582196,10.8657014090938,-10,4200,4200,4200,6600,1800
22-Jan-2008 01:30:00,11.6174709595109,11.4490658597961,13.6087324847624,12.1778112652727,10.8181360992612,-10,4200,4200,4200,6600,1800
22-Jan-2008 01:45:00,11.6087063798175,11.4408799848331,13.6129084167943,12.1703180903471,10.7954946942423,20,4200,4200,4200,6600,0
22-Jan-2008 02:00:00,15.1600954034001,14.9928462118576,14.8945449145022,15.5579013988572,12.3631457823401,20,4200,4200,4200,0,0
22-Jan-2008 02:15:00,15.5274790789073,15.3608065459735,15.0269150077311,12.9914070240939,12.5025488649281,20,0,4200,0,0,0
22-Jan-2008 02:30:00,12.8702617190189,15.5251792404583,12.9335485196129,12.8391448127043,12.5641072168339,20,0,4200,0,0,1800
22-Jan-2008 02:45:00,12.6727193125786,15.6174314132884,12.7862476904391,12.7935920383843,15.0770003293204,20,0,4200,0,0,1800
22-Jan-2008 03:00:00,12.6112852352759,15.6805996573759,12.7374130457852,12.7819091772406,15.3266487007493,20,0,0,0,6600,1800
22-Jan-2008 03:15:00,12.5956234803179,12.910607005832,12.7245307649188,15.7130294835493,15.4444287746194,-10,0,0,4200,6600,1800
22-Jan-2008 03:30:00,9.04249561911158,9.11246641107078,13.6188993595392,12.6427367211554,11.4561772607858,-10,0,0,4200,6600,1800
22-Jan-2008 03:45:00,8.68293378920829,8.66399366262548,13.7004837708379,12.4243241881415,11.1364964806805,-10,0,0,4200,6600,0
22-Jan-2008 04:00:00,8.531230807814,8.47742039440607,13.7316097097769,12.3499948351094,8.53696812084816,-10,0,0,4200,0,0
22-Jan-2008 04:15:00,8.45141212955743,8.38341291704253,13.7409540252514,9.39231267647456,8.25830664701786,-10,0,4200,4200,0,0
22-Jan-2008 04:30:00,8.39903135650282,11.1460050628556,13.7384828120204,9.06881781376098,8.13099403522238,-10,0,4200,4200,0,0
22-Jan-2008 04:45:00,8.3581587280375,11.3916049200239,13.7304275323768,8.92914565675957,8.05643486195486,-10,0,0,0,0,0
22-Jan-2008 05:00:00,8.32217695677497,8.65725614625069,11.5517855288166,8.85299585194188,8.00119908576529,-10,0,0,0,0,0
22-Jan-2008 05:15:00,8.2861836454231,8.39735362222198,11.3388256195607,8.79977222262209,7.95207879067975,-10,0,0,0,0,0
22-Jan-2008 05:30:00,8.24854862078753,8.27878096377479,11.2311016055176,8.75446746235253,7.90448267746842,-10,4200,0,0,0,1800
22-Jan-2008 05:45:00,11.0308021215485,8.20803174238415,11.1616684285181,8.71205080317132,10.3373921844209,20,4200,0,0,0,1800
22-Jan-2008 06:00:00,14.8357156003091,11.7103965672805,12.3843615608729,12.0607720387945,14.5800559927595,20,4200,0,0,0,1800
22-Jan-2008 06:15:00,15.2900589549014,12.0347129177697,12.4662698369359,12.3848445442334,15.0125215922155,20,0,0,0,0,1800
22-Jan-2008 06:30:00,12.662057191209,12.1585775064265,12.4977178730645,12.5066641345331,15.1955604032652,20,0,0,0,0,1800
22-Jan-2008 06:45:00,12.4731063994162,12.2134048898357,12.5123249453779,12.5597113107905,15.2906799462807,-10,4200,0,0,0,1800
22-Jan-2008 07:00:00,11.6801508552911,8.68764067572624,11.2451902713697,9.19732854603552,11.2918265690766,-10,4200,0,4200,0,1800
22-Jan-2008 07:15:00,11.5860890526377,8.3387631699656,13.2942974196983,8.85100029661179,10.9635417601005,-10,4200,0,4200,0,1800
22-Jan-2008 07:30:00,11.5498364277392,8.19232130615552,13.4303160844321,8.70540377248946,10.8361226970777,-10,4200,4200,4200,0,1800
22-Jan-2008 07:45:00,11.5345840951303,10.9377279009,13.4772396751241,8.62940794030933,10.7790439365781,-10,4200,4200,4200,0,1800
22-Jan-2008 08:00:00,11.5281650708669,11.1793946961032,13.4925648951909,8.58027069872812,10.7482470337448,-10,0,4200,4200,0,1800
22-Jan-2008 08:15:00,8.70458893440574,11.2674794929344,13.4964773921736,8.54177119379392,10.7274418711042,-10,0,4200,4200,0,1800
22-Jan-2008 08:30:00,8.41362383166361,11.3017820710362,13.4947354011118,8.50757982668801,10.710460241484,20,0,4200,4200,6600,0
22-Jan-2008 08:45:00,11.8417150277775,14.8690329837681,14.7655751764392,14.7945264450107,12.2761474877521,20,0,4200,4200,6600,0
22-Jan-2008 09:00:00,12.1410869587648,15.241398579704,14.887740988084,15.438719517263,12.41268680946,20,0,4200,0,6600,0
22-Jan-2008 09:15:00,12.2583745387459,15.4058673073898,12.7888207160221,15.7018699619529,12.4741633223449,20,4200,4200,0,0,1800
22-Jan-2008 09:30:00,15.134172655682,15.4973610313017,12.6416882178528,12.9026652274358,14.9897272154814,20,4200,4200,0,0,1800
22-Jan-2008 09:45:00,15.4546495427252,15.5608635829432,12.5964652369498,12.6693936190261,15.2421404947292,-10,0,4200,0,0,1800
22-Jan-2008 10:00:00,9.2258930103918,12.0592865089099,11.3125607366667,9.2039372758157,11.3002593288035,-10,0,4200,0,0,1800
