Datetime,ZoneMeanAirTemperature 1,ZoneMeanAirTemperature 2,ZoneMeanAirTemperature 3,ZoneMeanAirTemperature 4,ZoneMeanAirTemperature 5,Environment,HeatInput 1,HeatInput 2,HeatInput 3,HeatInput 4,HeatInput 5
21-Jan-2021 19:45:00,19.5198023173695,22.1527277173739,23.181196229046,19.41072459374,19.1793071582389,4.975,0,0,4200,0,0
21-Jan-2021 20:00:00,19.2463236263125,19.6522268158818,23.2612538222579,19.3451630204171,19.1309432584617,4.8,0,0,4200,0,1800
21-Jan-2021 20:15:00,19.047405131802,19.3893028682189,23.3155756875868,19.2879692111376,21.5312341058622,4.625,0,4200,4200,0,1800
21-Jan-2021 20:30:00,18.8973864874766,22.0358230078092,23.3545753579876,19.2374934839398,21.8786272072552,4.45,0,4200,4200,0,1800
21-Jan-2021 20:45:00,18.7816460932932,22.4053844707805,23.3853374069744,19.192334229726,22.1086520720829,4.275,0,4200,0,6600,1800
21-Jan-2021 21:00:00,18.6903312205434,22.6583546030595,21.1783453690477,22.0947831925667,22.2702246620169,4.1,4200,4200,0,6600,0
21-Jan-2021 21:15:00,21.4364354344399,22.8431587982227,20.872299997866,22.5927007843773,19.9443878727504,4,4200,4200,0,6600,0
21-Jan-2021 21:30:00,21.8717407151526,22.9839107765933,20.6756520134927,22.9369725168994,19.6477185212895,3.9,4200,4200,0,6600,0
21-Jan-2021 21:45:00,22.1695549952399,23.0936515158324,20.5422839220501,23.1893435504737,19.4513250785639,3.8,4200,4200,0,0,0
21-Jan-2021 22:00:00,22.3871226233489,23.1813815491951,20.4485372454442,20.4354763570296,19.3112305743575,3.7,4200,0,0,0,0
21-Jan-2021 22:15:00,22.5511785042794,20.4319910929102,20.3784615234656,20.0435586779625,19.2049434541714,3.675,4200,0,0,0,0
21-Jan-2021 22:30:00,22.6788756585537,19.9956134655467,20.3220040474013,19.7761453336398,19.1216345996757,3.65,0,0,0,0,1800
21-Jan-2021 22:45:00,19.9583036749948,19.6964227031864,20.2735172242908,19.577591168586,21.4965114140807,3.625,0,0,0,0,1800
21-Jan-2021 23:00:00,19.5413008396256,19.4764226121565,20.2295208628834,19.4248657403837,21.8249283085231,3.6,0,0,0,0,1800
21-Jan-2021 23:15:00,19.2555709642298,19.3085130567368,20.1881203774645,19.3039925670651,22.0404344937208,3.625,0,0,0,6600,0
21-Jan-2021 23:30:00,19.0464348607447,19.1774183307964,20.1489580968292,22.1503517225043,19.7482633961875,3.65,0,0,0,6600,0
21-Jan-2021 23:45:00,18.8874098839437,19.0718435095779,20.1130221989149,22.6068150292513,19.4726432880762,3.675,4200,0,0,6600,0
22-Jan-2021 00:00:00,21.5840397408291,18.9847471558311,20.0807278917027,22.9199232796219,19.2913296275736,3.7,4200,0,0,6600,0
22-Jan-2021 00:15:00,21.9817397998332,18.9118713569991,20.0527106322794,23.1497748820333,19.1630066407532,3.8,4200,4200,4200,6600,1800
22-Jan-2021 00:30:00,22.2530043487905,21.6728114398206,22.2628854851652,23.3252914034537,21.513704368116,3.9,0,4200,4200,6600,1800
22-Jan-2021 00:45:00,19.6321613950686,22.1204427208479,22.5769537121216,23.4640477598004,21.8316871008326,4,0,4200,4200,6600,1800
22-Jan-2021 01:00:00,19.2892541145537,22.4298426550372,22.7875763874911,23.5776358967719,22.046696081979,4.1,0,4200,4200,6600,1800
22-Jan-2021 01:15:00,19.0612802030011,22.6581965401557,22.9393064590989,23.673127636944,22.2033703665059,4.2,0,4200,4200,6600,1800
22-Jan-2021 01:30:00,18.8980292981834,22.8325338022013,23.0543280198282,23.7553220614238,22.3232186900058,4.3,0,4200,4200,6600,1800
22-Jan-2021 01:45:00,18.7772586578094,22.9694768919128,23.1453564528319,23.8276403720239,22.4186977042469,4.4,4200,4200,4200,6600,1800
22-Jan-2021 02:00:00,21.5068462149812,23.0800147605392,23.2204426455095,23.8925688557089,22.4975514516105,4.5,4200,4200,4200,6600,0
22-Jan-2021 02:15:00,21.933787299427,23.1722590540949,23.2858683219548,23.951860852666,20.1210837577617,4.375,4200,0,4200,0,0
22-Jan-2021 02:30:00,22.2254133616053,20.4261121874528,23.3432002046851,21.0586285412157,19.7873406954142,4.25,4200,0,4200,0,0
22-Jan-2021 02:45:00,22.4399581780548,19.9930769486993,23.3914914791019,20.5667302055524,19.5650046399369,4.125,4200,0,4200,0,0
22-Jan-2021 03:00:00,22.6029478101847,19.6982726717563,23.431059287954,20.2261368640673,19.4058850254275,4,4200,0,0,0,1800
22-Jan-2021 03:15:00,22.7299760403609,19.483967977815,21.2304426038636,19.9743563249747,21.7302758308366,4.1,0,0,0,6600,1800
22-Jan-2021 03:30:00,20.0132053399298,19.3260101066208,20.9277878851516,22.7294198439978,22.0288787549704,4.2,0,0,0,6600,1800
22-Jan-2021 03:45:00,19.6001769177379,19.2031852742833,20.7301997701626,23.1200949973618,22.226655012518,4.3,0,0,0,6600,1800
22-Jan-2021 04:00:00,19.3184264252441,19.1046011537842,20.59262108699,23.3856369091852,22.3682842695328,4.4,0,0,0,6600,0
22-Jan-2021 04:15:00,19.1123305939304,19.0233696318914,20.4924512903336,23.5810514589607,20.0310472219989,4.425,0,0,4200,6600,0
