Datetime,ZoneMeanAirTemperature 1,ZoneMeanAirTemperature 2,ZoneMeanAirTemperature 3,ZoneMeanAirTemperature 4,ZoneMeanAirTemperature 5,Environment,HeatInput 1,HeatInput 2,HeatInput 3,HeatInput 4,HeatInput 5
21-Jan-2008 19:30:00,10.6848005806736,10.2947708678952,12.8674767316886,9.97715785987189,9.30978443069899,-10,0,0,0,6600,0
21-Jan-2008 20:00:00,10.3071000253178,9.92153516542604,12.7297472406402,12.981591790449,9.05808144365357,20,0,4200,4200,6600,0
21-Jan-2008 20:30:00,14.0922578326601,16.8235672011059,16.4116528194463,16.8387998049329,13.3880606184292,-10,0,4200,0,6600,1800
21-Jan-2008 21:00:00,10.3351045984466,13.2634067397383,12.8419677638087,13.3477207540744,11.850929340312,-10,4200,4200,0,6600,1800
21-Jan-2008 21:30:00,13.2248700212959,13.127844115393,12.6718229232205,13.2075543910074,11.792811136902,-10,4200,4200,0,6600,1800
21-Jan-2008 22:00:00,13.3109164614729,13.0898358807503,12.6000969188911,13.1743625476525,11.7617167467815,20,4200,4200,0,0,0
21-Jan-2008 22:30:00,17.2259239104829,16.988302313325,13.9422631497255,13.6663426302093,13.4609652699883,20,0,4200,0,6600,0
21-Jan-2008 23:00:00,14.3508616745362,17.2235902801778,14.0021160027933,16.9339715749157,13.5434952096266,20,0,0,0,6600,1800
21-Jan-2008 23:30:00,14.2558152712475,14.2113269657564,14.0303546509144,17.1542050896044,16.2917459193418,20,0,0,0,6600,1800
22-Jan-2008 00:00:00,14.247250307577,14.0941124017092,14.0527595854361,17.2568329747178,16.4853915772487,-10,0,0,4200,6600,1800
22-Jan-2008 00:30:00,10.331565581458,10.1631141611615,15.0399720044247,13.5900782244242,12.155459394891,20,4200,0,4200,0,1800
22-Jan-2008 01:00:00,17.1224986982149,13.8428218510091,16.4805351054605,13.9379935168227,16.4167863566729,20,4200,0,0,6600,1800
22-Jan-2008 01:30:00,17.4673488317551,13.9989347900559,14.2329561519277,17.1930034552448,16.6408747166978,-10,0,4200,0,6600,1800
22-Jan-2008 02:00:00,10.5514331085659,13.2271146646094,12.7746681358385,13.6607510501817,12.3097168127381,-10,0,4200,0,6600,1800
22-Jan-2008 02:30:00,10.182688162699,13.1809612275986,12.6644326507558,13.5099533197853,12.1246031039708,-10,0,4200,4200,6600,1800
22-Jan-2008 03:00:00,10.0536641936332,13.1548486241898,14.9645373760309,13.4735539326256,12.0714524837083,-10,0,0,4200,6600,0
22-Jan-2008 03:30:00,9.96617116003686,10.0245225220518,15.0449863002054,13.4585939018145,9.33292899211827,-10,4200,0,0,0,0
22-Jan-2008 04:00:00,12.9934332783963,9.81158729963136,12.6726356518289,10.2014308596544,9.14605550783026,20,4200,0,0,0,0
22-Jan-2008 04:30:00,17.0209689974676,13.6285583094243,13.905531464504,13.724859071929,13.4726313009579,20,4200,0,0,6600,0
22-Jan-2008 05:00:00,17.2723036677168,13.7984076505673,13.938201185089,17.1055856408031,13.6473717981972,20,4200,4200,4200,6600,0
22-Jan-2008 05:30:00,17.3761070262363,16.9525417553605,16.3324330323772,17.341098941952,13.6999121030461,-10,4200,0,4200,6600,1800
22-Jan-2008 06:00:00,13.5428901522002,10.1441408260836,15.1104031794387,13.6955287575448,12.0124421222285,-10,0,0,0,6600,1800
22-Jan-2008 06:30:00,10.2564698023227,9.80282666448337,12.71662244529,13.5318455538213,11.9352275739484,-10,4200,0,4200,6600,1800
22-Jan-2008 07:00:00,13.1245941265522,9.68040897155783,14.9265212133642,13.4928378526715,11.9019692815285,20,4200,0,4200,6600,1800
22-Jan-2008 07:30:00,17.131261349317,13.5202716704108,16.3960890401651,17.2296177759433,16.3166188861006,20,4200,0,4200,0,0
22-Jan-2008 08:00:00,17.386434544043,13.7055848957058,16.5254887590271,14.2270893133391,13.8591605119049,20,0,4200,0,0,0
22-Jan-2008 08:30:00,14.3831814049522,16.8689131514199,14.2344078535262,14.1235634301412,13.810531270159,-10,0,4200,0,6600,1800
22-Jan-2008 09:00:00,10.349082235783,13.1648616615197,12.7567397714453,13.6014783819316,12.0923249518195,-10,0,4200,4200,6600,1800
22-Jan-2008 09:30:00,10.0861101245098,13.00958623933,15.0071488926077,13.5632599291408,12.0024259706977,20,4200,4200,4200,6600,1800
22-Jan-2008 10:00:00,17.0124873192723,16.8973144851888,16.4866203681477,17.3011793606351,16.4085675005386,20,4200,4200,4200,0,0
22-Jan-2008 10:30:00,17.3842474289617,17.1430672097846,16.6251993164241,14.2993406145406,13.9494608460267,20,4200,4200,0,0,0
22-Jan-2008 11:00:00,17.5159386247923,17.258133156294,14.3444545147128,14.1962516197161,13.9001490794411,20,4200,4200,4200,0,0
22-Jan-2008 11:30:00,17.6070288080289,17.3495808902744,16.6442541030415,14.1870293737265,13.9112772769142,20,0,4200,4200,0,0
22-Jan-2008 12:00:00,14.5839273718988,17.439885086823,16.7931027813887,14.1977277628681,13.9355071333836,20,0,4200,4200,0,0
22-Jan-2008 12:30:00,14.4778144992266,17.5275127740844,16.8718431899977,14.2142147947173,13.9635689734631,20,4200,4200,4200,6600,0
22-Jan-2008 13:00:00,17.5931492232094,17.6144003369275,16.9434806081428,17.4750756248383,13.9952129546676,20,4200,4200,0,6600,1800
22-Jan-2008 13:30:00,17.8075106591603,17.7017012946898,14.6611052830929,17.7011867317328,16.741699902199,-10,4200,0,0,6600,1800
22-Jan-2008 14:00:00,13.9852617810697,10.7497798880998,13.2044963881003,14.051189898146,12.4957337613673,-10,4200,0,4200,6600,0
22-Jan-2008 14:30:00,13.8055247492481,10.377230744776,15.4606796998716,13.8823280899149,9.61795903113124,-10,0,0,4200,6600,0
22-Jan-2008 15:00:00,10.6473952530213,10.2513465871932,15.5298488955968,13.8450521432858,9.41606004256626,20,0,0,0,6600,0
22-Jan-2008 15:30:00,14.346648500669,14.0819146485047,14.5552247370985,17.5790009527845,13.7562171441192,20,4200,4200,0,6600,0
