Tmargin,num_latent_states,rmse,rank_obsv_str,cond_obsv,rank_ctrb_str,cond_ctrb,gramian_cond_obsv,gramian_cond_cont
1.0,5,0.5307472944259644,10/10,29.47196292784052,10/10,11365.979680607421,27.53421764721095,4739.307186127045
1.0,5,0.5835480093955994,10/10,13.713536574573082,10/10,8493.559107629957,20.381171454841294,19777.244620862963
1.0,5,0.5665583610534668,10/10,4.37158594106485,10/10,2012.1718341206022,20.700412053602374,33641.99321120582
1.0,5,0.5797936916351318,10/10,13.794359121523692,10/10,8364.253870121987,27.23220229763541,30367.107305097135
1.0,5,0.6105409860610962,10/10,11.002546832638798,10/10,7745.548746417083,20.051161570654276,21974.87607846234
2.0,5,0.5758686661720276,10/10,4.016590918707995,10/10,2398.875048417968,17.563227864690823,23307.18848198767
2.0,5,0.6047308444976807,10/10,3.8705508682628804,10/10,1660.145829961221,15.140971965670557,69898.1669901934
2.0,5,0.5924723148345947,10/10,3.68370190255019,10/10,1435.18212400739,15.775891347139908,31427.645812263534
2.0,5,0.578809916973114,10/10,3.6355330202851373,10/10,1507.8197842706113,17.623287746200482,62165.38196998565
2.0,5,0.5828207731246948,10/10,4.003920276409362,10/10,1557.5904689441743,14.64096071782546,48994.36433624061
3.0,5,0.6798076629638672,10/10,3.7988354152618498,10/10,1288.8637879766009,21.62720979654309,62085.764516363684
3.0,5,0.6717290282249451,10/10,3.862660720514546,10/10,1323.8669136561366,18.91797850051055,56086.602870120056
3.0,5,0.6670631766319275,10/10,3.7779741468345027,10/10,1429.0932545667952,22.12811736295749,59033.48106947895
3.0,5,0.6570016741752625,10/10,3.781424127680362,10/10,1455.5217327173,25.011488098012187,59672.65944105692
3.0,5,0.664996862411499,10/10,3.882944723921455,10/10,1430.8863100341391,19.964064084108475,82536.59518177142
4.0,5,0.6247867941856384,10/10,3.6677348552815823,10/10,2301.126127694965,10.787795036889415,37800.472634906044
4.0,5,0.5987357497215271,10/10,3.61333543668959,10/10,2560.7098463620364,16.149226799841482,35842.40123824795
4.0,5,0.6089328527450562,10/10,3.756547684251054,10/10,2195.3118671826005,11.497708460481482,46346.295334449955
4.0,5,0.5977628231048584,10/10,3.6095546416322013,10/10,2345.484955001224,15.366761062122153,29683.028031556245
4.0,5,0.5974974036216736,10/10,3.7551411648448525,10/10,2557.7019466724573,15.210348289731687,41159.80010065182
5.0,5,0.6744768619537354,10/10,4.396653613200239,10/10,2053.6487441570234,13.028687993486521,33396.84613864586
5.0,5,0.692761242389679,10/10,3.751988551502001,10/10,1385.7551492492448,10.910285787255521,39902.521536204964
5.0,5,0.6833135485649109,10/10,3.469326507783794,10/10,1403.4303048249387,13.03902544037614,42913.54266388816
5.0,5,0.67234206199646,10/10,4.100067611768052,10/10,1646.1837526513282,12.549749986862588,68603.19056549994
5.0,5,0.6829425096511841,10/10,3.8224109580146037,10/10,1454.947930314435,9.639395668452353,63334.60329842378
