Tmargin,num_latent_states,rmse,rank_obsv_str,cond_obsv,rank_ctrb_str,cond_ctrb,gramian_cond_obsv,gramian_cond_cont
1.0,5,0.42153170704841614,10/10,2.686090157495217,10/10,327.2818025506624,684.885378371247,81.53760525560017
1.0,5,0.48082759976387024,10/10,2.5766701531099114,10/10,546.6807399888205,1209.4322098290575,81.70249071667943
1.0,5,0.47880125045776367,10/10,2.648092194269605,10/10,536.485042018667,896.081221132908,85.14155707703615
2.0,5,0.5240616202354431,10/10,2.519127247740044,10/10,531.6105983781625,1572.0210869060988,69.35494593370892
2.0,5,0.5315389037132263,10/10,2.5185696580484858,10/10,957.8424164567319,2332.421808553251,77.1157984294752
2.0,5,0.5359087586402893,10/10,2.5123392804584403,10/10,723.7647958901089,1943.5927284446366,72.61839640101688
3.0,5,0.5332908034324646,10/10,2.5105842147950432,10/10,428.67683284906605,1096.215459741178,94.22402781962109
3.0,5,0.5528804063796997,10/10,2.465713756955439,10/10,397.92222425983164,1141.9452043211586,175.84473269761105
3.0,5,0.5722066760063171,10/10,2.449506091436924,10/10,470.74691917486143,1284.6886846270718,323.90575299627255
4.0,5,0.5447218418121338,10/10,2.452012221977968,10/10,562.3663201907144,1542.9769326849664,69.9589817421107
4.0,5,0.5412228107452393,10/10,2.4676910973797592,10/10,596.8656776751146,1632.0056159146263,63.27116471930371
4.0,5,0.5411607623100281,10/10,2.470554639600946,10/10,643.0211934279032,1361.470271855857,62.47025432501374
5.0,5,0.7354775071144104,10/10,272.89771060714804,10/10,151.37288318672103,10228658.20728616,114.7983657739225
5.0,5,0.5701830387115479,10/10,2.433774837410503,10/10,660.4151458144577,1884.7645070839985,168.43233830984988
5.0,5,0.5660621523857117,10/10,2.4516382973243416,10/10,728.2590871194828,1749.873119304296,124.92026830231977
