Tmargin,num_latent_states,rmse,rank_obsv_str,cond_obsv,rank_ctrb_str,cond_ctrb,gramian_cond_obsv,gramian_cond_cont
1.0,1,0.6261462569236755,6/6,3.804369606952718,6/6,40.126190428562246,8726.900875294168,45.40220438880221
1.0,1,0.626897931098938,6/6,3.7982837425786413,6/6,40.11042415280403,8672.482212124409,45.577860352975044
1.0,1,0.6181003451347351,6/6,3.8522228978002633,6/6,39.21655374663849,9005.758910460889,47.10453415097778
1.0,2,0.5075495839118958,7/7,4.1825651786385185,7/7,1604.5088552707455,1525.1530583712795,239.87448353625948
1.0,2,0.5206363201141357,7/7,4.382741793375749,7/7,1315.7410889201658,1620.2700198987984,215.0013674515196
1.0,2,0.5360130071640015,7/7,3.589496211252247,7/7,939.1248437215556,1358.919368662024,278.0078005092504
1.0,3,0.4363105297088623,8/8,11.188575355217319,8/8,3935.5153418021,1655.0243247438539,474.3948126309871
1.0,3,0.460029661655426,8/8,4.892400526880054,8/8,2349.0350009219806,1730.9705059942671,696.9573191278923
1.0,3,0.4458804130554199,8/8,4.261548909297342,8/8,2382.0448628873655,1499.2107008222629,1032.0647141264656
1.0,4,0.4627848267555237,9/9,67.15007892690333,9/9,5546.986481328084,81368.9315897554,967.6050558713144
1.0,4,0.44187524914741516,9/9,71.11473918662969,9/9,2806.82135871289,121198.25655365529,687.9151151109403
1.0,4,0.46859148144721985,9/9,64.10330850785418,9/9,2713.768411439267,30164.9154039301,1892.5832868081932
1.0,5,0.48621681332588196,10/10,416.2562855246296,10/10,3783.700022541498,2280717.293383469,56298.32476370071
1.0,5,0.5348489284515381,10/10,154.90501634716142,10/10,845.993784375832,187309.7289416393,27993.86817072812
2.0,1,0.589950442314148,6/6,3.854663485324407,6/6,70.89776712738428,10295.638351924,37.00905757028227
2.0,1,0.5885758399963379,6/6,3.8466114236877718,6/6,71.62215304080654,9599.271192814489,35.644929323206895
2.0,1,0.5847183465957642,6/6,3.8443613189422288,6/6,72.95155036061152,8663.895220073337,33.81701224210602
2.0,2,0.47746336460113525,7/7,4.574058940722438,7/7,3178.7676216467667,1533.4590057979508,276.25356715661593
2.0,2,0.4800327718257904,7/7,3.843478085283327,7/7,2243.915559041505,1814.895514837898,291.5612960450901
2.0,2,0.4806525707244873,7/7,3.6755368039537615,7/7,2903.838773830015,1656.265939375776,314.31842553399287
2.0,3,0.43445032835006714,8/8,5.07761581482424,8/8,3910.8636166443757,1804.901641093355,471.35149587216364
2.0,3,0.4308522641658783,8/8,5.858829566464268,8/8,3605.4835771090916,1494.797252800826,445.09197399882896
2.0,3,0.44244760274887085,8/8,6.076727835001956,8/8,2547.6238329194,1218.581738473551,404.84246879671775
2.0,4,0.40526068210601807,9/9,5.707095967537952,9/9,7029.60197001601,1534.2801670311376,822.0223412302213
2.0,4,0.40537047386169434,9/9,5.824352321847367,9/9,7211.921051964683,1776.00135157814,842.7927213279585
2.0,4,0.4522685408592224,9/9,13.267956673587014,9/9,3155.587692318034,6144.025257838593,370.66750407825754
2.0,5,0.4190059304237366,10/10,91.59800903130262,10/10,9326.622986388727,79640.7427600109,1036.6122281341013
3.0,1,0.6264392733573914,6/6,3.2915440581490456,6/6,79.4395290311355,2165.503073533671,28.12139873336708
3.0,1,0.6292413473129272,6/6,3.28452340049972,6/6,79.571668152517,2158.4708349966477,28.079432705652483
3.0,1,0.618279218673706,6/6,3.287538088558149,6/6,79.98944272360083,2132.614531329491,28.27660185523902
3.0,2,0.4926813542842865,7/7,5.1683311971242825,7/7,1419.452992382638,1036.1465965394475,264.7547323012033
3.0,2,0.49553224444389343,7/7,4.60787841053579,7/7,1240.812124975477,1167.6009272384085,271.23642908322665
3.0,2,0.5088516473770142,7/7,3.36658394199232,7/7,1023.6251628566558,1339.7907852719416,329.3172138210822
3.0,3,0.4698842167854309,8/8,3.342887683826692,8/8,1326.5533647720379,1856.7611815023472,299.1017255001307
3.0,3,0.4832488000392914,8/8,5.365187591044518,8/8,1605.7942237299403,1041.6864671473795,245.0389527416255
3.0,3,0.4672397971153259,8/8,6.176366462454217,8/8,2265.5505619687547,954.6336461426293,328.0077338190008
3.0,4,0.519239604473114,9/9,31.328726966068523,9/9,1789.0754181753769,23029.057046233662,992.9756699629991
3.0,4,0.46853816509246826,9/9,66.5505100794132,9/9,4458.464913793247,149586.89931285533,485.95453225666387
3.0,4,0.4640536904335022,9/9,5.7160646638615855,9/9,3890.5340172345855,2506.8173442344496,433.61856945054603
3.0,5,0.4716101884841919,10/10,70.62989408784769,10/10,1818.3384037423825,29622.54277066926,106745.36935790454
4.0,1,0.6504680514335632,6/6,3.471687758979266,6/6,57.68818969507686,3889.9618018306273,29.995731606548276
4.0,1,0.6467140316963196,6/6,3.4634854719056962,6/6,58.42493069204133,3599.543047709706,29.374730326777858
4.0,1,0.6435314416885376,6/6,3.4768053550089038,6/6,59.80733162209553,3383.3279708794594,29.106260969449497
4.0,2,0.549298107624054,7/7,4.889293455795349,7/7,1680.2612570297206,1452.6603632493602,311.84500691771717
4.0,2,0.5637969374656677,7/7,5.961246694488319,7/7,1657.010521148032,1542.046861783495,306.3012226691879
4.0,2,0.559384286403656,7/7,3.132336466378325,7/7,1013.0216188358045,2125.893737862501,370.91399006412814
4.0,3,0.5211926698684692,8/8,2.7980699661645088,8/8,1093.6931411699375,2323.8932992880896,397.72894312996885
4.0,3,0.4981183111667633,8/8,4.105393421397068,8/8,1923.9904730685948,1404.751395531095,286.708155324243
4.0,3,0.49970200657844543,8/8,3.9224615041299256,8/8,1484.4206116313912,1292.0703173578402,359.6848619270474
4.0,4,0.4990355670452118,9/9,6.092081606358707,9/9,1110.3039347473837,6744.192297928086,246.05796494012762
4.0,4,0.5096532702445984,9/9,10.499849935066564,9/9,2251.282126799019,6519.625626610147,1349.3577725859436
4.0,4,0.48389488458633423,9/9,6.904391691316567,9/9,2540.0108877520724,3213.569556960749,726.121973482885
4.0,5,0.48850202560424805,10/10,31.21694658288098,10/10,6067.507686319143,55539.65750009054,686.8835542882563
5.0,1,0.6678462624549866,6/6,3.436260671934274,6/6,68.34101812265125,3028.484569276924,26.59015081995515
5.0,1,0.6676818132400513,6/6,3.416136190143281,6/6,72.28832566478943,2827.0936727995454,26.850003434301332
5.0,1,0.6647555828094482,6/6,3.4048602835203843,6/6,77.25809551067249,2688.6229475901064,27.434656450580906
5.0,2,0.5748482942581177,7/7,4.115026356381894,7/7,1593.0657099933496,2011.5217473653197,315.257270859201
5.0,2,0.5809269547462463,7/7,3.3637602016334767,7/7,1267.7227643457604,2542.9368104119744,330.62704284605417
5.0,2,0.5902767181396484,7/7,3.0622760154640436,7/7,1209.374850055869,2796.483331023522,345.13127512835075
5.0,3,0.505564272403717,8/8,3.3693345036819853,8/8,1459.005921417928,2770.1486995284286,288.9722116237597
5.0,3,0.49800002574920654,8/8,4.787589042180793,8/8,1839.80481592796,1652.414717070246,326.6650396968785
5.0,3,0.5039201974868774,8/8,4.133152372415198,8/8,1540.360701857441,1985.4134692560115,295.6396748814133
5.0,4,0.504115879535675,9/9,3.002815160110934,9/9,974.938182516783,2948.287953896321,215.93973617643465
5.0,4,0.4915967285633087,9/9,45.38812909944872,9/9,2501.400193086682,18412.872618535548,373.7565887901246
5.0,4,0.4747474491596222,9/9,16.318728210349526,9/9,1867.6759486138867,5339.967773095428,384.53320220875503
5.0,5,0.4975739121437073,10/10,61.42927702616312,10/10,2753.803531106426,85280.62770985789,348.168746875574
