Datetime,ZoneMeanAirTemperature 1,ZoneMeanAirTemperature 2,ZoneMeanAirTemperature 3,ZoneMeanAirTemperature 4,ZoneMeanAirTemperature 5,Environment,HeatInput 1,HeatInput 2,HeatInput 3,HeatInput 4,HeatInput 5,Total Solar Radiation
21-Jan-2021 19:45:00,22.5010525783503,22.9449577480423,20.1797270113812,22.7380991009344,21.8835839978421,4.975,4200,4200,0,6600,1800,0
21-Jan-2021 20:00:00,22.6710440332921,23.0022637008875,20.0867411159234,22.9385451121619,22.0921988382969,4.8,4200,0,0,0,1800,0
21-Jan-2021 20:15:00,22.8018611878617,20.2303960485767,20.0232230151086,20.146626630704,22.2382910213728,4.625,0,4200,4200,0,1800,0
21-Jan-2021 20:30:00,20.0832210475826,22.5970911556222,22.2086073076212,19.7271465141444,22.3433036526437,4.45,0,4200,4200,0,0,0
21-Jan-2021 20:45:00,19.6690616571098,22.7824383062134,22.5006546864189,19.4400145631398,19.9774451988811,4.275,0,4200,4200,0,0,0
21-Jan-2021 21:00:00,19.3880260240028,22.9057794753553,22.6900922638248,19.2286855429062,19.649827052059,4.1,0,4200,4200,6600,0,0
21-Jan-2021 21:15:00,19.1841816903511,22.9986804295162,22.8215961971118,22.0116166290428,19.429668589379,4,0,4200,4200,6600,0,0
21-Jan-2021 21:30:00,19.0328835943993,23.0737996119606,22.9195833414078,22.4250239663688,19.2742812441039,3.9,4200,0,4200,6600,0,0
21-Jan-2021 21:45:00,21.7381128574697,20.3151857519311,22.9968947307281,22.7088371592563,19.1602461148549,3.8,4200,0,0,0,0,0
21-Jan-2021 22:00:00,22.1440615846021,19.8715844885601,20.8266323436089,19.9752084486715,19.0735135621842,3.7,4200,0,0,0,0,0
21-Jan-2021 22:15:00,22.4196325508395,19.5668693373322,20.5456133413222,19.5969721640154,19.0027301130198,3.675,0,0,0,0,0,0
21-Jan-2021 22:30:00,19.7993820443246,19.3441270552558,20.3618068142666,19.3388928110219,18.9431801119138,3.65,4200,0,0,0,0,0
21-Jan-2021 22:45:00,22.2732767921973,19.1745521678664,20.2303000214006,19.1468878705787,18.8903252398287,3.625,0,0,0,0,0,0
21-Jan-2021 23:00:00,19.7136996632396,19.0419433050348,20.1310184036096,18.9985354113035,18.8422256685925,3.6,4200,0,0,0,0,0
21-Jan-2021 23:15:00,22.2145553219562,18.9353266551886,20.051997369996,18.8803397749375,18.7975619954619,3.625,0,0,0,0,0,0
21-Jan-2021 23:30:00,19.6714717406554,18.8486694854024,19.9871678095215,18.784450130874,18.756565085465,3.65,4200,0,0,0,0,0
21-Jan-2021 23:45:00,22.183040109664,18.7758190142427,19.9314139194723,18.7042066267655,18.7175928626426,3.675,0,0,0,0,0,0
22-Jan-2021 00:00:00,19.6464164350822,18.7133878749299,19.8824318930904,18.6354279245064,18.68011543229,3.7,0,4200,0,0,0,0
22-Jan-2021 00:15:00,19.3412151788096,21.4795265840021,19.8377299642312,18.5751452786747,18.6437615987959,3.8,0,0,0,0,0,0
22-Jan-2021 00:30:00,19.1330544686598,19.1078041009785,19.7969023075202,18.5225614546011,18.6100127317498,3.9,0,4200,0,0,0,0
22-Jan-2021 00:45:00,18.9783798955723,21.7388643576788,19.7581922490989,18.4750168671819,18.5772138842621,4,0,0,0,6600,0,0
22-Jan-2021 01:00:00,18.8593081543422,19.2879200702523,19.7219109213096,21.3750800655452,18.5454068056833,4.1,4200,4200,4200,0,0,0
22-Jan-2021 01:15:00,21.5860125204061,21.866787882773,21.9226350304436,18.9286199536976,18.515933781867,4.2,0,0,0,6600,0,0
22-Jan-2021 01:30:00,19.1871350272417,19.3820233290434,19.9922825571846,21.6807152027468,18.4888780687406,4.3,4200,4200,4200,0,0,0
22-Jan-2021 01:45:00,21.8000252313426,21.9383297536644,22.0924278966913,19.1486672521379,18.4638507682249,4.4,0,0,0,6600,1800,0
22-Jan-2021 02:00:00,19.3381562750089,19.4376407383018,20.1061964921036,21.8433788202474,20.8840492909659,4.5,0,0,0,0,0,0
22-Jan-2021 02:15:00,19.0887663305626,19.1608991284091,19.9385354852072,19.2714533277897,18.8051240419312,4.375,0,0,4200,6600,1800,0
22-Jan-2021 02:30:00,18.9160756804839,18.9685688672345,22.0613394983667,21.9326798879428,21.1011838474876,4.25,0,0,0,0,0,0
22-Jan-2021 02:45:00,18.7866552685966,18.824839971433,20.0800181886794,19.3352738290929,18.9473500122686,4.125,0,0,0,0,1800,0
22-Jan-2021 03:00:00,18.684633809333,18.7122686790563,19.9097398947291,19.0367214285797,21.1979372277911,4,4200,0,0,0,0,0
22-Jan-2021 03:15:00,21.4217260483828,18.620437677328,19.7952753079117,18.8320573684317,19.0108972871462,4.1,0,0,0,0,1800,0
22-Jan-2021 03:30:00,19.0311103636967,18.5480199516313,19.7116773389961,18.6816759069334,21.2420952552016,4.2,4200,0,0,0,0,0
22-Jan-2021 03:45:00,21.648831093396,18.4870216661356,19.6458457439381,18.565311451957,19.0434252342241,4.3,0,0,4200,0,0,0
22-Jan-2021 04:00:00,19.1886822837231,18.4348174609179,21.825052109241,18.4724867448203,18.8197941269363,4.4,4200,0,0,0,0,0
22-Jan-2021 04:15:00,21.762110862838,18.3900357605462,19.876424676096,18.3974091975891,18.6707113659739,4.425,0,0,4200,6600,0,0
22-Jan-2021 04:30:00,19.271013051997,18.3492069853152,21.9607992793331,21.2772379492265,18.5611586772543,4.45,0,0,0,0,0,0
22-Jan-2021 04:45:00,19.0009641394877,18.3123221951817,19.9614841205581,18.8167993543935,18.4790641338016,4.475,0,0,4200,6600,1800,0
22-Jan-2021 05:00:00,18.8179729251637,18.2775592552462,22.0151681682448,21.5578319565524,20.8581603004563,4.5,0,0,0,0,0,0
22-Jan-2021 05:15:00,18.6826685195261,18.244859971059,19.9960585513987,19.0181027435715,18.7500576894633,4.45,0,0,4200,0,1800,0
22-Jan-2021 05:30:00,18.5765426489426,18.2118159588871,22.0359869849893,18.7613054477121,21.0283416754189,4.4,0,0,0,0,0,0
