Datetime,ZoneMeanAirTemperature 1,ZoneMeanAirTemperature 2,ZoneMeanAirTemperature 3,ZoneMeanAirTemperature 4,ZoneMeanAirTemperature 5,Environment,HeatInput 1,HeatInput 2,HeatInput 3,HeatInput 4,HeatInput 5,Total Solar Radiation
21-Jan-2021 23:15:00,18.9637016856832,21.3888555447027,19.2342663593478,18.4441698684774,18.3976378087969,3.625,4200,0,0,0,0,0
21-Jan-2021 23:30:00,21.5295698273276,18.9604473878146,19.2007933969676,18.3018441284569,18.3450648219443,3.65,0,0,0,0,1800,0
21-Jan-2021 23:45:00,19.031549523365,18.7293090578374,19.1695948105976,18.1887982697142,20.7418178190513,3.675,0,0,0,0,0,0
22-Jan-2021 00:00:00,18.754235980332,18.5714510654004,19.1390483016216,18.097087315007,18.642441001795,3.7,4200,0,0,0,1800,0
22-Jan-2021 00:15:00,21.3856930269771,18.4518855795277,19.1082410827966,18.0208171040936,20.9262527996082,3.8,0,0,0,0,0,0
22-Jan-2021 00:30:00,18.9218897716038,18.3591979211118,19.07881857859,17.9574276752809,18.7633888169381,3.9,4200,0,0,6600,0,0
22-Jan-2021 00:45:00,21.4883027408139,18.284021334718,19.0499464296732,20.8464465920369,18.5641180308875,4,0,4200,0,0,0,0
22-Jan-2021 01:00:00,18.9913593819577,21.0426512236125,19.0239191119093,18.3920168469004,18.4321742744138,4.1,4200,0,0,6600,0,0
22-Jan-2021 01:15:00,21.5374913856344,18.6657083605979,19.0000719663324,21.1371662098888,18.3363833283502,4.2,0,4200,0,0,0,0
22-Jan-2021 01:30:00,19.027466714547,21.2942413059113,18.9787957638655,18.5993208774554,18.2635820729369,4.3,0,0,4200,0,0,0
22-Jan-2021 01:45:00,18.7437269515029,18.8426058816871,21.1915852023712,18.3449743758954,18.2053432615435,4.4,0,0,0,0,0,0
22-Jan-2021 02:00:00,18.5521670694343,18.6013664791266,19.2675385953314,18.1756976629473,18.1572318727022,4.5,0,0,0,0,1800,0
22-Jan-2021 02:15:00,18.4105718951445,18.4397479669621,19.1353848228408,18.0502314306754,20.5592003548655,4.375,0,0,0,0,0,0
22-Jan-2021 02:30:00,18.2966985594432,18.315115727824,19.0468461527785,17.9489454822201,18.4596974534035,4.25,4200,0,0,0,1800,0
22-Jan-2021 02:45:00,21.0250987234179,18.2162673034899,18.9799857510351,17.8660100421426,20.7423471430593,4.125,0,4200,4200,0,0,0
22-Jan-2021 03:00:00,18.6242813964493,20.9568933955941,21.1605196503165,17.7964169794139,18.5760546176006,4,4200,0,0,0,0,0
22-Jan-2021 03:15:00,21.2349398132781,18.5668787488168,19.215472638681,17.7374462314961,18.3734454392631,4.1,0,4200,0,0,0,0
22-Jan-2021 03:30:00,18.7733906179951,21.1894411515835,19.071639941714,17.6894411909546,18.241530196979,4.2,4200,0,0,0,0,0
22-Jan-2021 03:45:00,21.3455806653172,18.7337020447141,18.9779898959389,17.6465535119265,18.1450020226813,4.3,0,4200,4200,0,0,0
22-Jan-2021 04:00:00,18.8550474921343,21.3103883889049,21.1435106906398,17.6075849128452,18.0704049665029,4.4,0,0,0,0,0,0
22-Jan-2021 04:15:00,18.5870036293234,18.8243269817358,19.1891309428369,17.5727956065741,18.0111370125197,4.425,0,0,0,6600,0,0
22-Jan-2021 04:30:00,18.4051645629042,18.5568778600992,19.037022307823,20.4829993285332,17.9602479220835,4.45,0,0,0,0,0,0
22-Jan-2021 04:45:00,18.2696516276633,18.3752339454414,18.937454262081,18.044518664836,17.9169117814516,4.475,0,0,4200,6600,0,0
22-Jan-2021 05:00:00,18.1643063762547,18.239975433245,21.0979160503231,20.8018743712215,17.878730916263,4.5,0,0,0,0,0,0
22-Jan-2021 05:15:00,18.0806980188065,18.1360265448217,19.1400566179761,18.2746375747795,17.8458554481958,4.45,0,0,0,6600,0,0
